OBJECTID,GEOID10,CTBG10,CENSUS_TRACT,AreaSqMil,CDP_NAME,CITYNAME,COMMNAME,Can_A,Grass_A,Soil_A,Water_A,Build_A,Road_A,Paved_A,Shrub_A,Perv_A,Imperv_A,Total_A,Can_P,Grass_P,Soil_P,Water_P,Build_P,Road_P,Paved_P,Shrub_P,Perv_P,Imperv_P,layer
118,60375548012,5548012,554801,0.2392,Artesia,Artesia,City of Artesia,"677,432.81","713,826.56","46,842.19",0,"1,456,298.44","1,371,487.50","2,402,254.69",0,"1,438,101.56","5,230,040.63","6,668,142.19",10.15924366,10.70502911,0.702477335,0,21.83964284,20.56776028,36.02584678,0,21.56675011,78.43324989,la_county_urban_2010_blockgroups
119,60375548011,5548011,554801,0.1101,Artesia,Artesia,City of Artesia,"424,237.50","319,781.25","69,595.31",0,"803,784.38","556,706.25","893,432.81",0,"813,614.06","2,253,923.44","3,067,537.50",13.82990428,10.42468918,2.268768108,0,26.20291928,18.14831115,29.125408,0,26.52336157,73.47663843,la_county_urban_2010_blockgroups
120,60375537022,5537022,553702,0.1518,Paramount,Paramount,City of Paramount,"690,975","586,757.81","69,539.06","58,035.94","647,353.13","659,334.38","1,520,521.88",0,"1,405,307.81","2,827,209.38","4,232,517.19",16.32539147,13.86309344,1.642971769,1.37119201,15.29475478,15.57783101,35.92476552,0,33.20264869,66.79735131,la_county_urban_2010_blockgroups
121,60375547001,5547001,554700,0.0948,Cerritos,Cerritos,City of Cerritos,"351,351.56","257,948.44","4,275",0,"712,110.94","494,437.50","822,501.56",0,"613,575","2,029,050","2,642,625",13.2955513,9.76106854,0.161770966,0,26.94710515,18.7100894,31.12441464,0,23.2183908,76.7816092,la_county_urban_2010_blockgroups
122,60375547003,5547003,554700,0.0767,Norwalk,Norwalk,City of Norwalk,"178,565.63","134,395.31",0,0,"656,184.38","402,370.31","767,896.88",0,"312,960.94","1,826,451.56","2,139,412.50",8.346479466,6.281879371,0,0,30.67124152,18.80751433,35.89288531,0,14.62835884,85.37164116,la_county_urban_2010_blockgroups
123,60375532005,5532005,553200,0.1757,Bellflower,Bellflower,City of Bellflower,"579,431.25","1,144,687.50","26,254.69",0,"1,159,734.38","619,495.31","1,367,845.31",0,"1,750,373.44","3,147,075","4,897,448.44",11.83128842,23.37314041,0.536089105,0,23.68037948,12.64934834,27.92975424,0,35.74051794,64.25948206,la_county_urban_2010_blockgroups
124,60375545212,5545212,554521,0.5356,Cerritos,Cerritos,City of Cerritos,"2,038,078.13","991,251.56",0,"46,546.88","3,229,396.88","1,399,134.38","7,226,803.13",0,"3,075,876.56","11,855,334.38","14,931,210.94",13.64978456,6.638788821,0,0.31174213,21.62849945,9.370535189,48.40064986,0,20.60031551,79.39968449,la_county_urban_2010_blockgroups
125,60375546002,5546002,554600,0.2229,Norwalk,Norwalk,City of Norwalk,"567,295.31","1,027,153.13","38,756.25",0,"1,360,335.94","571,584.38","2,646,660.94",0,"1,633,204.69","4,578,581.25","6,211,785.94",9.132563778,16.5355525,0.623914771,0,21.89927263,9.20161095,42.60708537,0,26.29203105,73.70796895,la_county_urban_2010_blockgroups
126,60375420003,5420003,542000,0.1303,Compton,Compton,City of Compton,"680,934.38","496,068.75","21,150",0,"914,414.06","486,337.50","1,034,789.06",0,"1,198,153.13","2,435,540.63","3,633,693.75",18.73945417,13.65191412,0.582052354,0,25.16486323,13.38410811,28.47760801,0,32.97342064,67.02657936,la_county_urban_2010_blockgroups
127,60375362003,5362003,536200,0.1102,South Gate,South Gate,City of South Gate,"386,254.69","370,701.56","11,432.81",0,"897,117.19","497,756.25","907,607.81",0,"768,389.06","2,302,481.25","3,070,870.31",12.57802018,12.07154731,0.372298773,0,29.21377643,16.20896356,29.55539375,0,25.02186626,74.97813374,la_county_urban_2010_blockgroups
128,60372017002,2017002,201700,0.1828,Los Angeles,Los Angeles,LA City - El Sereno,"760,443.75","588,557.81","960,468.75",0,"947,264.06","841,809.38","997,214.06",0,"2,309,470.31","2,786,287.50","5,095,757.81",14.9230748,11.54995654,18.84839871,0,18.58926773,16.51980738,19.56949485,0,45.32143005,54.67856995,la_county_urban_2010_blockgroups
129,60375766024,5766024,576602,0.0335,Long Beach,Long Beach,City of Long Beach,"145,687.50","43,200",0,0,"364,935.94","186,201.56","194,175",0,"188,887.50","745,312.50","934,200",15.59489403,4.624277457,0,0,39.0640053,19.93165944,20.78516378,0,20.21917148,79.78082852,la_county_urban_2010_blockgroups
130,60375362005,5362005,536200,0.1206,South Gate,South Gate,City of South Gate,"428,835.94","395,859.38","35,550",0,"902,700","584,564.06","1,013,287.50",0,"860,245.31","2,500,551.56","3,360,796.88",12.75994812,11.77873551,1.057784845,0,26.85970124,17.3936148,30.15021549,0,25.59646847,74.40353153,la_county_urban_2010_blockgroups
131,60375424013,5424013,542401,0.1254,Compton,Compton,City of Compton,"492,651.56","435,881.25",182.8125,0,"698,484.38","493,129.69","1,374,581.25",0,"928,715.63","2,566,195.31","3,494,910.94",14.09625514,12.47188434,0.00523082,0,19.98575607,14.10993574,39.33093789,0,26.5733703,73.4266297,la_county_urban_2010_blockgroups
132,60371091001,1091001,109100,0.2059,Los Angeles,Los Angeles,LA City - Mission Hills,"858,979.69","371,095.31","200,700",0,"1,287,168.75","1,314,014.06","1,707,032.81",323.4375,"1,431,098.44","4,308,215.63","5,739,314.06",14.96659145,6.465847808,3.496933568,0,22.42722277,22.89496703,29.74280191,0.005635473,24.93500829,75.06499171,la_county_urban_2010_blockgroups
133,60371091002,1091002,109100,0.8394,Los Angeles,Los Angeles,LA City - Mission Hills,"4,204,364.06","6,452,479.69","3,224,446.88",0,"2,310,946.88","2,851,171.88","4,137,468.75","220,584.38","14,101,875","9,299,587.50","23,401,462.50",17.9662449,27.57297621,13.77882632,0,9.875224145,12.18373371,17.68038536,0.942609356,60.26065679,39.73934321,la_county_urban_2010_blockgroups
