STATEFP,COUNTYFP,TRACTCE,GEOID,CENSUS_TRACT,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEOID2,GEOid2_1,PovRate,Id2,MedIncome,FID_1,STATEFP_1,COUNTYFP_1,TRACTCE_1,GEOID_1,NAME_1,NAMELSAD_1,MTFCC_1,FUNCSTAT_1,ALAND_1,AWATER_1,INTPTLAT_1,INTPTLON_1,GEOID2_12,GEOid2__13,PovRate_1,Id2_1,MedIncom_1
6,37,310701,6037310701,310701,Census Tract 3107.01,G5020,S,"515,339",0,34.1853923,-118.312844,"6,037,310,701","6,037,310,701",21.4,"6,037,310,701",25804,16,6,37,310701,6037310701,3107.01,Census Tract 3107.01,G5020,S,"515,339",0,34.1853923,-118.312844,"6,037,310,700","6,037,310,700",21.4,"6,037,310,700","25,804"
6,37,137501,6037137501,137501,Census Tract 1375.01,G5020,S,"2,514,410",0,34.1649344,-118.5768036,"6,037,137,501","6,037,137,501",9,"6,037,137,501",73949,17,6,37,137501,6037137501,1375.01,Census Tract 1375.01,G5020,S,"2,514,410",0,34.1649344,-118.5768036,"6,037,137,500","6,037,137,500",9,"6,037,137,500","73,949"
6,37,137502,6037137502,137502,Census Tract 1375.02,G5020,S,"2,090,222",0,34.1634518,-118.5976927,"6,037,137,502","6,037,137,502",5.7,"6,037,137,502",96964,18,6,37,137502,6037137502,1375.02,Census Tract 1375.02,G5020,S,"2,090,222",0,34.1634518,-118.5976927,"6,037,137,500","6,037,137,500",5.7,"6,037,137,500","96,964"
6,37,195500,6037195500,195500,Census Tract 1955,G5020,S,"1,215,210",0,34.0881865,-118.2646124,"6,037,195,500","6,037,195,500",6.8,"6,037,195,500",79553,19,6,37,195500,6037195500,1955,Census Tract 1955,G5020,S,"1,215,210",0,34.0881865,-118.2646124,"6,037,195,500","6,037,195,500",6.8,"6,037,195,500","79,553"
6,37,310702,6037310702,310702,Census Tract 3107.02,G5020,S,"1,052,158",0,34.1811419,-118.3067629,"6,037,310,702","6,037,310,702",18.1,"6,037,310,702",41121,20,6,37,310702,6037310702,3107.02,Census Tract 3107.02,G5020,S,"1,052,158",0,34.1811419,-118.3067629,"6,037,310,700","6,037,310,700",18.1,"6,037,310,700","41,121"
6,37,195600,6037195600,195600,Census Tract 1956,G5020,S,"527,583",0,34.0808254,-118.2655482,"6,037,195,600","6,037,195,600",24.2,"6,037,195,600",67778,21,6,37,195600,6037195600,1956,Census Tract 1956,G5020,S,"527,583",0,34.0808254,-118.2655482,"6,037,195,600","6,037,195,600",24.2,"6,037,195,600","67,778"
6,37,195710,6037195710,195710,Census Tract 1957.10,G5020,S,"483,407",0,34.0747292,-118.2686024,"6,037,195,710","6,037,195,710",34.3,"6,037,195,710",46125,22,6,37,195710,6037195710,1957.1,Census Tract 1957.10,G5020,S,"483,407",0,34.0747292,-118.2686024,"6,037,195,710","6,037,195,710",34.3,"6,037,195,710","46,125"
6,37,195720,6037195720,195720,Census Tract 1957.20,G5020,S,"288,986",0,34.0737571,-118.2633774,"6,037,195,720","6,037,195,720",10.4,"6,037,195,720",46023,23,6,37,195720,6037195720,1957.2,Census Tract 1957.20,G5020,S,"288,986",0,34.0737571,-118.2633774,"6,037,195,720","6,037,195,720",10.4,"6,037,195,720","46,023"
6,37,195802,6037195802,195802,Census Tract 1958.02,G5020,S,"402,523",0,34.0756705,-118.277696,"6,037,195,802","6,037,195,802",14.4,"6,037,195,802",48309,24,6,37,195802,6037195802,1958.02,Census Tract 1958.02,G5020,S,"402,523",0,34.0756705,-118.277696,"6,037,195,800","6,037,195,800",14.4,"6,037,195,800","48,309"
6,37,137504,6037137504,137504,Census Tract 1375.04,G5020,S,"3,837,564",0,34.1480383,-118.5720594,"6,037,137,504","6,037,137,504",2.3,"6,037,137,504",175313,25,6,37,137504,6037137504,1375.04,Census Tract 1375.04,G5020,S,"3,837,564",0,34.1480383,-118.5720594,"6,037,137,500","6,037,137,500",2.3,"6,037,137,500","175,313"
