,Medium Income ($),Canopy Area (%),Income Bracket
133,75833.0,13.735175165,75K - 100K ($)
134,84539.0,25.63235264,75K - 100K ($)
135,71400.0,15.882969565,50K - 75K ($)
136,31212.0,14.45357287,25K - 50K ($)
137,43134.0,14.159674374000002,25K - 50K ($)
138,51768.0,13.615022915,50K - 75K ($)
139,34570.0,12.84873432,25K - 50K ($)
140,37535.0,14.69226792,25K - 50K ($)
141,40391.0,14.06943302,25K - 50K ($)
142,42838.0,12.234868156666666,25K - 50K ($)
143,38952.0,11.553127558,25K - 50K ($)
144,34659.0,13.344205091,25K - 50K ($)
145,27309.0,10.887565934333331,25K - 50K ($)
146,35577.0,8.345531321666666,25K - 50K ($)
147,30640.0,9.376050756,25K - 50K ($)
148,56442.0,15.843017292000006,50K - 75K ($)
149,60993.0,13.57903952,50K - 75K ($)
150,30703.0,12.884108825,25K - 50K ($)
151,36038.0,13.600203685,25K - 50K ($)
152,36209.0,17.241760114999998,25K - 50K ($)
153,34792.0,10.716500359375,25K - 50K ($)
154,68750.0,19.45651845275,50K - 75K ($)
155,36835.0,12.720148745,25K - 50K ($)
156,103854.0,30.64849791,100K - 125K ($)
157,59250.0,8.342247411499999,50K - 75K ($)
158,124602.0,31.0109618625,100K - 125K ($)
159,87014.0,30.01234178,75K - 100K ($)
160,48150.0,18.688172746666666,25K - 50K ($)
161,40486.0,11.653610222249998,25K - 50K ($)
162,80417.0,19.831719621666664,75K - 100K ($)
163,55536.0,20.565162816666668,50K - 75K ($)
164,47306.0,15.5596362825,25K - 50K ($)
165,50278.0,19.959996305,50K - 75K ($)
166,45583.0,13.413214606666667,25K - 50K ($)
167,111836.0,33.14785371,100K - 125K ($)
168,67014.0,16.470279178,50K - 75K ($)
169,63839.0,14.631967319999998,50K - 75K ($)
170,71136.0,17.098282955000002,50K - 75K ($)
171,56162.0,18.0643309475,50K - 75K ($)
172,37286.0,10.79756499,25K - 50K ($)
173,44534.0,10.917778939000002,25K - 50K ($)
174,37059.0,8.980534653,25K - 50K ($)
175,35600.0,12.9531538,25K - 50K ($)
176,46957.0,10.615391155,25K - 50K ($)
177,39194.0,11.804885394000001,25K - 50K ($)
178,41351.0,14.805198285,25K - 50K ($)
179,40587.0,12.96421793,25K - 50K ($)
180,37792.0,10.059084191666667,25K - 50K ($)
181,47005.0,9.0705019595,25K - 50K ($)
182,50625.0,15.223792756000002,50K - 75K ($)
183,45392.0,15.2689544275,25K - 50K ($)
184,58399.0,19.900871645,50K - 75K ($)
185,50182.0,13.773225576666668,50K - 75K ($)
186,43225.0,13.765365743333335,25K - 50K ($)
187,37625.0,13.423403665,25K - 50K ($)
188,42247.0,12.926799955,25K - 50K ($)
189,37774.0,9.963028704749998,25K - 50K ($)
190,41511.0,10.4061033986,25K - 50K ($)
191,43750.0,10.229375521285716,25K - 50K ($)
192,98295.0,27.402943216,75K - 100K ($)
193,46096.0,14.813504558,25K - 50K ($)
194,67577.0,24.11917166333333,50K - 75K ($)
195,90750.0,21.841718575,75K - 100K ($)
196,105987.0,21.620754563333332,100K - 125K ($)
197,78300.0,23.092219780000004,75K - 100K ($)
198,87286.0,21.59396261333333,75K - 100K ($)
199,83188.0,27.22593924,75K - 100K ($)
200,74312.0,20.742338224,50K - 75K ($)
201,89923.0,24.666272688000003,75K - 100K ($)
202,43560.0,10.464072721,25K - 50K ($)
203,66000.0,15.46707721,50K - 75K ($)
204,37604.0,11.6308720668,25K - 50K ($)
205,33384.0,12.005298455,25K - 50K ($)
206,25742.0,17.751049746666666,25K - 50K ($)
207,58889.0,9.991338557999999,50K - 75K ($)
208,42224.0,10.168769716,25K - 50K ($)
209,25590.0,8.335043942999999,25K - 50K ($)
210,81655.0,9.850573163666668,75K - 100K ($)
211,91771.0,6.086343802999999,75K - 100K ($)
212,68333.0,9.471197766,50K - 75K ($)
213,73587.0,12.671308479333335,50K - 75K ($)
214,116875.0,18.738670165,100K - 125K ($)
215,142688.0,20.729103312,125K to 150K ($)
216,156080.0,30.972850065000006,150K + ($)
217,77821.0,27.10213063,75K - 100K ($)
218,33466.0,16.195448165000002,25K - 50K ($)
219,119410.0,35.90472846,100K - 125K ($)
220,85125.0,34.28685180333333,75K - 100K ($)
221,122500.0,41.644577335,100K - 125K ($)
222,53542.0,30.71965197,50K - 75K ($)
223,26933.0,9.7003786975,25K - 50K ($)
224,65761.0,22.203011275,50K - 75K ($)
225,45441.0,14.92548253,25K - 50K ($)
226,95845.0,19.57128177,75K - 100K ($)
227,61500.0,20.86038331,50K - 75K ($)
228,17086.0,11.12272062266667,0 - 25K ($)
229,37479.0,12.475279506,25K - 50K ($)
230,68725.0,11.382437325,50K - 75K ($)
231,83500.0,16.923042342000002,75K - 100K ($)
232,91790.0,11.2447346,75K - 100K ($)
233,74550.0,12.09193877,50K - 75K ($)
234,33281.0,10.617981454,25K - 50K ($)
235,39831.0,14.576105703333333,25K - 50K ($)
236,44637.0,9.740192442666666,25K - 50K ($)
237,140179.0,15.87521245,125K to 150K ($)
238,66076.0,11.45303122,50K - 75K ($)
239,29972.0,10.387811661499999,25K - 50K ($)
240,20169.0,3.9507034805,0 - 25K ($)
241,23705.0,16.618833665,0 - 25K ($)
242,106667.0,32.28508785,100K - 125K ($)
243,102892.0,16.133720576666665,100K - 125K ($)
244,41172.0,14.09363692,25K - 50K ($)
245,42863.0,10.475280758666669,25K - 50K ($)
246,57109.0,20.572092183333336,50K - 75K ($)
247,35236.0,10.296051328999999,25K - 50K ($)
248,52063.0,12.31706862,50K - 75K ($)
249,206932.0,46.44723406,150K + ($)
250,111029.0,20.841221855,100K - 125K ($)
251,70723.0,23.407649348000003,50K - 75K ($)
252,89184.0,30.706519155,75K - 100K ($)
253,60656.0,25.35453733,50K - 75K ($)
254,39297.0,20.16303455,25K - 50K ($)
255,41905.0,13.397527297,25K - 50K ($)
256,85546.0,21.1179399575,75K - 100K ($)
257,153940.0,25.46453262,150K + ($)
258,25258.0,8.745034376500001,25K - 50K ($)
259,40259.0,15.464705665,25K - 50K ($)
260,24732.0,8.348931175,0 - 25K ($)
261,54420.0,11.862823213333336,50K - 75K ($)
262,87991.0,14.742375415,75K - 100K ($)
263,62468.0,19.344692097800003,50K - 75K ($)
264,80046.0,24.237043675,75K - 100K ($)
265,54000.0,15.772209135,50K - 75K ($)
266,82795.0,14.952660645,75K - 100K ($)
267,82586.0,24.13019472,75K - 100K ($)
268,57847.0,6.243665965666668,50K - 75K ($)
269,87303.0,7.557062455,75K - 100K ($)
270,113451.0,8.578643976,100K - 125K ($)
271,79250.0,15.6296367392,75K - 100K ($)
272,77500.0,15.559508722222226,75K - 100K ($)
273,54895.0,14.291207213333333,50K - 75K ($)
274,49957.0,15.076631200000001,25K - 50K ($)
275,77143.0,6.604275737999999,75K - 100K ($)
276,109674.0,10.71351827,100K - 125K ($)
277,110041.0,19.54598872,100K - 125K ($)
278,92083.0,20.779082295,75K - 100K ($)
279,143491.0,19.33777083,125K to 150K ($)
280,117500.0,24.69698689833333,100K - 125K ($)
281,52286.0,3.599360097,50K - 75K ($)
282,24091.0,17.01695297,0 - 25K ($)
283,27727.0,11.160241372666666,25K - 50K ($)
284,41845.0,12.708361318333333,25K - 50K ($)
285,53104.0,15.613638887500002,50K - 75K ($)
286,125469.0,17.869292126666668,125K to 150K ($)
287,135132.0,26.70270595,125K to 150K ($)
288,45513.0,17.0206675095,25K - 50K ($)
289,59267.0,5.5056757085,50K - 75K ($)
290,94441.0,14.788368645,75K - 100K ($)
291,89484.0,10.22363471,75K - 100K ($)
292,77476.0,5.2350001625,75K - 100K ($)
293,100398.0,20.874207325,100K - 125K ($)
294,102361.0,19.294980766666665,100K - 125K ($)
295,98139.0,23.177827005,75K - 100K ($)
296,83200.0,24.87029728333333,75K - 100K ($)
297,35547.0,12.127074785,25K - 50K ($)
298,96667.0,22.35074832,75K - 100K ($)
299,94922.0,18.763719926666667,75K - 100K ($)
300,93125.0,24.3311857925,75K - 100K ($)
301,43073.0,20.109355035,25K - 50K ($)
302,78225.0,27.9211542925,75K - 100K ($)
303,180625.0,38.09522318,150K + ($)
304,58227.0,12.59043224,50K - 75K ($)
305,39849.0,15.05008446,25K - 50K ($)
306,47596.0,11.538694526333332,25K - 50K ($)
307,83917.0,15.101174345,75K - 100K ($)
308,60218.0,12.287103745333333,50K - 75K ($)
309,81556.0,24.4870707375,75K - 100K ($)
310,71083.0,28.100674096666665,50K - 75K ($)
311,61742.0,29.057572686000004,50K - 75K ($)
312,38787.0,12.21654645,25K - 50K ($)
313,66522.0,19.465062166666666,50K - 75K ($)
314,90396.0,14.36508921,75K - 100K ($)
315,55884.0,0.892639031,50K - 75K ($)
316,37321.0,11.628902313333333,25K - 50K ($)
317,31095.0,14.260959355,25K - 50K ($)
318,83611.0,19.49954077,75K - 100K ($)
319,50000.0,12.930041309000002,25K - 50K ($)
320,64329.0,19.032823125,50K - 75K ($)
321,34222.0,10.67217817,25K - 50K ($)
322,58718.0,18.657644386666668,50K - 75K ($)
323,20044.0,12.17325577,0 - 25K ($)
324,68191.0,25.33611360833333,50K - 75K ($)
325,53116.0,15.39343507,50K - 75K ($)
326,114643.0,36.767116755,100K - 125K ($)
327,56686.0,23.783503842,50K - 75K ($)
328,49188.0,17.734807213333333,25K - 50K ($)
329,21522.0,14.129220523333332,0 - 25K ($)
330,61250.0,14.83093889,50K - 75K ($)
331,102250.0,18.263231753333333,100K - 125K ($)
332,44718.0,19.626504785,25K - 50K ($)
333,34325.0,13.19323212,25K - 50K ($)
334,46296.0,9.447884534,25K - 50K ($)
335,124663.0,34.21278103,100K - 125K ($)
336,107738.0,20.45406909,100K - 125K ($)
337,120347.0,29.446941790000004,100K - 125K ($)
338,39844.0,12.986260186666668,25K - 50K ($)
339,83167.0,33.11021418,75K - 100K ($)
340,40230.0,4.493190572333334,25K - 50K ($)
341,179519.0,43.527849073999995,150K + ($)
342,35673.0,9.56446289,25K - 50K ($)
343,57857.0,54.29136092,50K - 75K ($)
344,46270.0,17.406289547500002,25K - 50K ($)
345,84212.0,14.621678114999998,75K - 100K ($)
346,132500.0,21.7516954925,125K to 150K ($)
347,81719.0,21.03213115,75K - 100K ($)
348,39565.0,6.0603707920000005,25K - 50K ($)
349,90987.0,22.581961125,75K - 100K ($)
350,38750.0,12.91929416,25K - 50K ($)
351,73102.0,16.5019880925,50K - 75K ($)
352,46349.0,16.071268989999997,25K - 50K ($)
353,53403.0,13.265954476,50K - 75K ($)
354,161200.0,22.9105307675,150K + ($)
355,63333.0,14.323381465,50K - 75K ($)
356,92045.0,25.49807803,75K - 100K ($)
357,80975.0,23.024470825,75K - 100K ($)
358,117750.0,44.73859247,100K - 125K ($)
359,186750.0,50.33380889,150K + ($)
